Region,WorkType,Year,Measure
Pacific Northwest,County,2015,3606106
Pacific Northwest,State,2024,318952
Pacific Northwest,State,2023,1890598
Pacific Northwest,State,2022,1477360
Pacific Northwest,State,2021,1210931
Pacific Northwest,State,2020,1370792
Pacific Northwest,State,2019,1296688
Pacific Northwest,State,2018,2366909
Pacific Northwest,State,2017,1050178
Pacific Northwest,State,2016,2270612
Pacific Northwest,State,2015,1104781
Pacific Northwest,Federal,2024,355867
Pacific Northwest,Federal,2023,661964
Pacific Northwest,Federal,2022,331590
Pacific Northwest,Federal,2021,380335
Pacific Northwest,Federal,2020,514616
Pacific Northwest,Federal,2019,371952
Pacific Northwest,Federal,2018,742272
Pacific Northwest,Federal,2017,606561
Pacific Northwest,Federal,2016,432301
Pacific Northwest,Federal,2015,692803
Pacific Southwest,Private,2024,33240388
Pacific Southwest,Private,2023,102744058
Pacific Southwest,Private,2022,141023396
Pacific Southwest,Private,2021,121509730
Pacific Southwest,Private,2020,95372507
Pacific Southwest,Private,2019,88291925
Pacific Southwest,Private,2018,94140771
Pacific Southwest,Private,2017,91117105
Pacific Southwest,Private,2016,89239996
Pacific Southwest,Private,2015,72174154
Pacific Southwest,County,2024,4884586
Pacific Southwest,County,2023,17682290
Pacific Southwest,County,2022,13209182
Pacific Southwest,County,2021,17232081
Pacific Southwest,County,2020,15426014
Pacific Southwest,County,2019,16396234
Pacific Southwest,County,2018,16334765
Pacific Southwest,County,2017,11970584
Pacific Southwest,County,2016,10444481
Pacific Southwest,County,2015,8143081
Pacific Southwest,State,2024,1570830
Pacific Southwest,State,2023,5487398
Pacific Southwest,State,2022,5563284
Pacific Southwest,State,2021,3696401
Pacific Southwest,State,2020,5502495
Pacific Southwest,State,2019,4416941
Pacific Southwest,State,2018,5879578
Pacific Southwest,State,2017,4774840
Pacific Southwest,State,2016,4214069
Pacific Southwest,State,2015,2345005
Pacific Southwest,Federal,2024,268041
Pacific Southwest,Federal,2023,1682496
Pacific Southwest,Federal,2022,1379290
Pacific Southwest,Federal,2021,2526796
Pacific Southwest,Federal,2020,1606044
Pacific Southwest,Federal,2019,2124335
Pacific Southwest,Federal,2018,1542299
Pacific Southwest,Federal,2017,1553186
Pacific Southwest,Federal,2016,1578138
Pacific Southwest,Federal,2015,1214347
South Atlantic,Private,2024,43446420
South Atlantic,Private,2023,185677069
South Atlantic,Private,2022,181493005
South Atlantic,Private,2021,164605508
South Atlantic,Private,2020,133868557
South Atlantic,Private,2019,135835912
South Atlantic,Private,2018,127301759
South Atlantic,Private,2017,120925168
South Atlantic,Private,2016,111236420
South Atlantic,Private,2015,94965068
South Atlantic,County,2024,4002603
South Atlantic,County,2023,20649677
South Atlantic,County,2022,14437887
South Atlantic,County,2021,10841543
South Atlantic,County,2020,11326768
South Atlantic,County,2019,11537271
South Atlantic,County,2018,11820744
South Atlantic,County,2017,11013452
South Atlantic,County,2016,10202043
South Atlantic,County,2015,8290180
South Atlantic,State,2024,1297468
South Atlantic,State,2023,4491505
South Atlantic,State,2022,3999004
South Atlantic,State,2021,3126767
South Atlantic,State,2020,2971008
South Atlantic,State,2019,3888959
South Atlantic,State,2018,3440151
South Atlantic,State,2017,3192670
South Atlantic,State,2016,3112273
South Atlantic,State,2015,2641901
South Atlantic,Federal,2024,452099
South Atlantic,Federal,2023,4074058
South Atlantic,Federal,2022,3564204
South Atlantic,Federal,2021,4364602
South Atlantic,Federal,2020,3058153
South Atlantic,Federal,2019,3927674
South Atlantic,Federal,2018,2993683
South Atlantic,Federal,2017,3064222
South Atlantic,Federal,2016,2338583
South Atlantic,Federal,2015,2155323
West North Central,Private,2024,7207216
West North Central,Private,2023,38424108
West North Central,Private,2022,38701806
West North Central,Private,2021,39486428
West North Central,Private,2020,30790278
West North Central,Private,2019,31485981
West North Central,Private,2018,33012790
West North Central,Private,2017,32301107
West North Central,Private,2016,29304088
West North Central,Private,2015,27676742
West North Central,County,2024,1663224
West North Central,County,2023,6081359
West North Central,County,2022,6107437
West North Central,County,2021,5440951
West North Central,County,2020,5751540
West North Central,County,2019,7139918
West North Central,County,2018,5041451
West North Central,County,2017,4705557
West North Central,County,2016,4502266
West North Central,County,2015,4941679
West North Central,State,2024,235953
West North Central,State,2023,2006123
West North Central,State,2022,1444928
West North Central,State,2021,1339931
West North Central,State,2020,927370
West North Central,State,2019,930778
West North Central,State,2018,1175700
West North Central,State,2017,690528
West North Central,State,2016,1040870
West North Central,State,2015,1163324
West North Central,Federal,2024,938620
West North Central,Federal,2023,1753404
West North Central,Federal,2022,750410
West North Central,Federal,2021,491405
West North Central,Federal,2020,790608
West North Central,Federal,2019,1182342
West North Central,Federal,2018,452230
West North Central,Federal,2017,277181
West North Central,Federal,2016,377468
West North Central,Federal,2015,1418877
West South Central,Private,2024,29151402
West South Central,Private,2023,98427324
West South Central,Private,2022,137170893
West South Central,Private,2021,99633495
West South Central,Private,2020,82839452
West South Central,Private,2019,90234705
West South Central,Private,2018,77706319
West South Central,Private,2017,72984366
West South Central,Private,2016,71383626
West South Central,Private,2015,77012878
West South Central,County,2024,4973477
West South Central,County,2023,15938744
West South Central,County,2022,13642884
West South Central,County,2021,10681241
West South Central,County,2020,11479178
West South Central,County,2019,12301817
West South Central,County,2018,11003529
West South Central,County,2017,10490037
West South Central,County,2016,10018770
West South Central,County,2015,7777382
West South Central,State,2024,1278991
West South Central,State,2023,4105283
West South Central,State,2022,2139344
West South Central,State,2021,2444751
West South Central,State,2020,3216132
West South Central,State,2019,3021287
West South Central,State,2018,2030353
West South Central,State,2017,3844457
West South Central,State,2016,1828952
West South Central,State,2015,2400948
West South Central,Federal,2024,154724
West South Central,Federal,2023,1147785
West South Central,Federal,2022,773531
West South Central,Federal,2021,698514
West South Central,Federal,2020,555022
West South Central,Federal,2019,1365231
West South Central,Federal,2018,566147
West South Central,Federal,2017,567596
West South Central,Federal,2016,1000904
West South Central,Federal,2015,578291
