Region,ConstructionType,Year,Measure
New England,Add and Alteration,2018,2062353
New England,Add and Alteration,2017,1867344
New England,Add and Alteration,2016,1599622
New England,Add and Alteration,2015,1174508
New England,Major Alteration,2024,1186753
New England,Major Alteration,2023,6123743
New England,Major Alteration,2022,4996036
New England,Major Alteration,2021,5175252
New England,Major Alteration,2020,4531843
New England,Major Alteration,2019,5401140
New England,Major Alteration,2018,5185109
New England,Major Alteration,2017,4706577
New England,Major Alteration,2016,3746136
New England,Major Alteration,2015,3868718
Pacific Northwest,New Construction,2024,6409518
Pacific Northwest,New Construction,2023,35179707
Pacific Northwest,New Construction,2022,30531447
Pacific Northwest,New Construction,2021,33928926
Pacific Northwest,New Construction,2020,27579963
Pacific Northwest,New Construction,2019,30332733
Pacific Northwest,New Construction,2018,31786147
Pacific Northwest,New Construction,2017,29143332
Pacific Northwest,New Construction,2016,26627496
Pacific Northwest,New Construction,2015,23504098
Pacific Northwest,Major Addition,2024,183894
Pacific Northwest,Major Addition,2023,366894
Pacific Northwest,Major Addition,2022,737306
Pacific Northwest,Major Addition,2021,268974
Pacific Northwest,Major Addition,2020,290072
Pacific Northwest,Major Addition,2019,1668342
Pacific Northwest,Major Addition,2018,1205462
Pacific Northwest,Major Addition,2017,443280
Pacific Northwest,Major Addition,2016,159583
Pacific Northwest,Major Addition,2015,394716
Pacific Northwest,Add and Alteration,2024,308340
Pacific Northwest,Add and Alteration,2023,1205257
Pacific Northwest,Add and Alteration,2022,2751000
Pacific Northwest,Add and Alteration,2021,1262968
Pacific Northwest,Add and Alteration,2020,2575683
Pacific Northwest,Add and Alteration,2019,2557094
Pacific Northwest,Add and Alteration,2018,1942253
Pacific Northwest,Add and Alteration,2017,1549467
Pacific Northwest,Add and Alteration,2016,1867313
Pacific Northwest,Add and Alteration,2015,1286315
Pacific Northwest,Major Alteration,2024,1079599
Pacific Northwest,Major Alteration,2023,4565910
Pacific Northwest,Major Alteration,2022,5076547
Pacific Northwest,Major Alteration,2021,4471108
Pacific Northwest,Major Alteration,2020,3669969
Pacific Northwest,Major Alteration,2019,3294758
Pacific Northwest,Major Alteration,2018,3545318
Pacific Northwest,Major Alteration,2017,4319846
Pacific Northwest,Major Alteration,2016,3884227
Pacific Northwest,Major Alteration,2015,3205455
Pacific Southwest,New Construction,2024,29816940
Pacific Southwest,New Construction,2023,105873278
Pacific Southwest,New Construction,2022,139790156
Pacific Southwest,New Construction,2021,128640034
Pacific Southwest,New Construction,2020,101040551
Pacific Southwest,New Construction,2019,95800829
Pacific Southwest,New Construction,2018,101925638
Pacific Southwest,New Construction,2017,91443810
Pacific Southwest,New Construction,2016,88089927
Pacific Southwest,New Construction,2015,70135441
Pacific Southwest,Major Addition,2024,5956327
Pacific Southwest,Major Addition,2023,2915394
Pacific Southwest,Major Addition,2022,1048659
Pacific Southwest,Major Addition,2021,747187
Pacific Southwest,Major Addition,2020,998270
Pacific Southwest,Major Addition,2019,543321
Pacific Southwest,Major Addition,2018,841987
Pacific Southwest,Major Addition,2017,1508459
Pacific Southwest,Major Addition,2016,1297873
Pacific Southwest,Major Addition,2015,953488
Pacific Southwest,Add and Alteration,2024,456173
Pacific Southwest,Add and Alteration,2023,3704330
Pacific Southwest,Add and Alteration,2022,5199211
Pacific Southwest,Add and Alteration,2021,2458613
Pacific Southwest,Add and Alteration,2020,3949105
Pacific Southwest,Add and Alteration,2019,2976058
Pacific Southwest,Add and Alteration,2018,4204718
Pacific Southwest,Add and Alteration,2017,1949101
Pacific Southwest,Add and Alteration,2016,2331153
Pacific Southwest,Add and Alteration,2015,2957205
Pacific Southwest,Major Alteration,2024,3734405
Pacific Southwest,Major Alteration,2023,15103240
Pacific Southwest,Major Alteration,2022,15137126
Pacific Southwest,Major Alteration,2021,13119174
Pacific Southwest,Major Alteration,2020,11919134
Pacific Southwest,Major Alteration,2019,11909227
Pacific Southwest,Major Alteration,2018,10925070
Pacific Southwest,Major Alteration,2017,14514345
Pacific Southwest,Major Alteration,2016,13757731
Pacific Southwest,Major Alteration,2015,9830453
South Atlantic,New Construction,2024,42224123
South Atlantic,New Construction,2023,186150644
South Atlantic,New Construction,2022,176637515
South Atlantic,New Construction,2021,163091253
