Industry,Work Type,Switch Time,Measure
Parking Garages and Automotive Services,Private,2019,14706631
Parking Garages and Automotive Services,Private,2018,12967446
Parking Garages and Automotive Services,Private,2017,11711636
Parking Garages and Automotive Services,Private,2016,12730966
Parking Garages and Automotive Services,Private,2015,9700613
Parking Garages and Automotive Services,County,2024,610038
Parking Garages and Automotive Services,County,2023,1832154
Parking Garages and Automotive Services,County,2022,2328346
Parking Garages and Automotive Services,County,2021,1884952
Parking Garages and Automotive Services,County,2020,941784
Parking Garages and Automotive Services,County,2019,4002100
Parking Garages and Automotive Services,County,2018,1424346
Parking Garages and Automotive Services,County,2017,1637317
Parking Garages and Automotive Services,County,2016,1230991
Parking Garages and Automotive Services,County,2015,2184238
Parking Garages and Automotive Services,State,2024,211494
Parking Garages and Automotive Services,State,2023,552858
Parking Garages and Automotive Services,State,2022,448600
Parking Garages and Automotive Services,State,2021,574286
Parking Garages and Automotive Services,State,2020,704077
Parking Garages and Automotive Services,State,2019,1350728
Parking Garages and Automotive Services,State,2018,890758
Parking Garages and Automotive Services,State,2017,621807
Parking Garages and Automotive Services,State,2016,1097998
Parking Garages and Automotive Services,State,2015,598659
Parking Garages and Automotive Services,Federal,2024,11062
Parking Garages and Automotive Services,Federal,2023,246514
Parking Garages and Automotive Services,Federal,2022,155783
Parking Garages and Automotive Services,Federal,2021,387838
Parking Garages and Automotive Services,Federal,2020,166091
Parking Garages and Automotive Services,Federal,2019,334140
Parking Garages and Automotive Services,Federal,2018,106390
Parking Garages and Automotive Services,Federal,2017,288009
Parking Garages and Automotive Services,Federal,2016,191476
Parking Garages and Automotive Services,Federal,2015,158422
Manufacturing and Processing Plants,Private,2024,14837750
Manufacturing and Processing Plants,Private,2023,69700799
Manufacturing and Processing Plants,Private,2022,96093045
Manufacturing and Processing Plants,Private,2021,27546949
Manufacturing and Processing Plants,Private,2020,13532009
Manufacturing and Processing Plants,Private,2019,30578291
Manufacturing and Processing Plants,Private,2018,22219872
Manufacturing and Processing Plants,Private,2017,22265337
Manufacturing and Processing Plants,Private,2016,16931640
Manufacturing and Processing Plants,Private,2015,22877305
Manufacturing and Processing Plants,County,2024,45755
Manufacturing and Processing Plants,County,2023,219893
Manufacturing and Processing Plants,County,2022,319674
Manufacturing and Processing Plants,County,2021,94734
Manufacturing and Processing Plants,County,2020,56631
Manufacturing and Processing Plants,County,2019,82185
Manufacturing and Processing Plants,County,2018,127114
Manufacturing and Processing Plants,County,2017,128418
Manufacturing and Processing Plants,County,2016,105340
Manufacturing and Processing Plants,County,2015,59789
Manufacturing and Processing Plants,State,2024,802
Manufacturing and Processing Plants,State,2023,20371
Manufacturing and Processing Plants,State,2022,12127
Manufacturing and Processing Plants,State,2021,36817
Manufacturing and Processing Plants,State,2020,11241
Manufacturing and Processing Plants,State,2019,32657
Manufacturing and Processing Plants,State,2018,14476
Manufacturing and Processing Plants,State,2017,89265
Manufacturing and Processing Plants,State,2016,1645
Manufacturing and Processing Plants,State,2015,2700
Manufacturing and Processing Plants,Federal,2023,769463
Manufacturing and Processing Plants,Federal,2022,10712
Manufacturing and Processing Plants,Federal,2021,46987
Manufacturing and Processing Plants,Federal,2020,20110
Manufacturing and Processing Plants,Federal,2019,118334
Manufacturing and Processing Plants,Federal,2018,6529431
Manufacturing and Processing Plants,Federal,2017,1979
Manufacturing and Processing Plants,Federal,2016,19567
Manufacturing and Processing Plants,Federal,2015,2102
Warehouses (Manufacturer owned),Private,2024,575498
Warehouses (Manufacturer owned),Private,2023,1828693
Warehouses (Manufacturer owned),Private,2022,2502169
Warehouses (Manufacturer owned),Private,2021,2861445
Warehouses (Manufacturer owned),Private,2020,2471019
Warehouses (Manufacturer owned),Private,2019,1757299
Warehouses (Manufacturer owned),Private,2018,2194679
Warehouses (Manufacturer owned),Private,2017,2257599
Warehouses (Manufacturer owned),Private,2016,2163414
Warehouses (Manufacturer owned),Private,2015,1662150
Warehouses (Manufacturer owned),County,2022,18930
Warehouses (Manufacturer owned),County,2020,5000
Warehouses (Manufacturer owned),County,2019,3792
Warehouses (Manufacturer owned),County,2018,13800
Warehouses (Manufacturer owned),County,2017,53490
Warehouses (Manufacturer owned),County,2016,1651
Warehouses (Manufacturer owned),Federal,2024,108300
Warehouses (Manufacturer owned),Federal,2021,3525
Warehouses (Manufacturer owned),Federal,2015,3000
Laboratories (Manufacturer owned),Private,2024,356395
Laboratories (Manufacturer owned),Private,2023,2197401
Laboratories (Manufacturer owned),Private,2022,2451150
Laboratories (Manufacturer owned),Private,2021,1688937
Laboratories (Manufacturer owned),Private,2020,969703
Laboratories (Manufacturer owned),Private,2019,935943
Laboratories (Manufacturer owned),Private,2018,1148459
Laboratories (Manufacturer owned),Private,2017,1435457
Laboratories (Manufacturer owned),Private,2016,1069424
Laboratories (Manufacturer owned),Private,2015,624227
Laboratories (Manufacturer owned),County,2024,47249
Laboratories (Manufacturer owned),County,2023,155708
Laboratories (Manufacturer owned),County,2022,102902
Laboratories (Manufacturer owned),County,2021,17864
Laboratories (Manufacturer owned),County,2020,16744
Laboratories (Manufacturer owned),County,2019,30213
Laboratories (Manufacturer owned),County,2018,9128
Laboratories (Manufacturer owned),County,2017,8256
Laboratories (Manufacturer owned),County,2016,11461
Laboratories (Manufacturer owned),County,2015,10580
Laboratories (Manufacturer owned),State,2024,45928
Laboratories (Manufacturer owned),State,2023,156165
Laboratories (Manufacturer owned),State,2022,79569
Laboratories (Manufacturer owned),State,2021,16415
Laboratories (Manufacturer owned),State,2020,10331
Laboratories (Manufacturer owned),State,2019,16969
Laboratories (Manufacturer owned),State,2018,17934
Laboratories (Manufacturer owned),State,2017,14911
Laboratories (Manufacturer owned),State,2016,26693
Laboratories (Manufacturer owned),State,2015,17737
Laboratories (Manufacturer owned),Federal,2024,36500
Laboratories (Manufacturer owned),Federal,2023,79996
Laboratories (Manufacturer owned),Federal,2022,76607
Laboratories (Manufacturer owned),Federal,2021,11921
Laboratories (Manufacturer owned),Federal,2020,1952
Laboratories (Manufacturer owned),Federal,2019,2166
Laboratories (Manufacturer owned),Federal,2018,9239
Laboratories (Manufacturer owned),Federal,2017,1379
Laboratories (Manufacturer owned),Federal,2016,16663
Laboratories (Manufacturer owned),Federal,2015,4363
Schools and Colleges,Private,2024,1845798
Schools and Colleges,Private,2023,8325654
Schools and Colleges,Private,2022,6335810
Schools and Colleges,Private,2021,6305240
Schools and Colleges,Private,2020,5223502
Schools and Colleges,Private,2019,5903651
Schools and Colleges,Private,2018,6310386
Schools and Colleges,Private,2017,7781517
Schools and Colleges,Private,2016,6568276
Schools and Colleges,Private,2015,7337048
Schools and Colleges,County,2024,10595313
Schools and Colleges,County,2023,49094416
Schools and Colleges,County,2022,44760475
Schools and Colleges,County,2021,40293019
Schools and Colleges,County,2020,42815981
Schools and Colleges,County,2019,44812216
Schools and Colleges,County,2018,41197029
Schools and Colleges,County,2017,33950225
Schools and Colleges,County,2016,31873881
Schools and Colleges,County,2015,26939470
Schools and Colleges,State,2024,2893215
Schools and Colleges,State,2023,11963626
Schools and Colleges,State,2022,8700521
Schools and Colleges,State,2021,7403190
Schools and Colleges,State,2020,7739944
Schools and Colleges,State,2019,6701346
Schools and Colleges,State,2018,7447104
Schools and Colleges,State,2017,8846507
Schools and Colleges,State,2016,7018663
Schools and Colleges,State,2015,6381986
Schools and Colleges,Federal,2024,9038
Schools and Colleges,Federal,2023,310473
Schools and Colleges,Federal,2022,206748
Schools and Colleges,Federal,2021,561096
Schools and Colleges,Federal,2020,294111
Schools and Colleges,Federal,2019,321338
Schools and Colleges,Federal,2018,281505
Schools and Colleges,Federal,2017,367363
Schools and Colleges,Federal,2016,217310
Schools and Colleges,Federal,2015,302320
Laboratories (excl. manufacturer owned),Private,2024,573864
Laboratories (excl. manufacturer owned),Private,2023,7006007
Laboratories (excl. manufacturer owned),Private,2022,9010688
Laboratories (excl. manufacturer owned),Private,2021,4315016
Laboratories (excl. manufacturer owned),Private,2020,2230325
Laboratories (excl. manufacturer owned),Private,2019,2020844
Laboratories (excl. manufacturer owned),Private,2018,1823215
Laboratories (excl. manufacturer owned),Private,2017,2427561
Laboratories (excl. manufacturer owned),Private,2016,1182835
Laboratories (excl. manufacturer owned),Private,2015,2044548
Laboratories (excl. manufacturer owned),County,2024,273385
Laboratories (excl. manufacturer owned),County,2023,1177760
Laboratories (excl. manufacturer owned),County,2022,1017484
