Industry,Work Type,Switch Time,Measure
Miscellaneous Nonresidential Buildings,Private,2015,2303369
Miscellaneous Nonresidential Buildings,Municipal,2017,15000
Miscellaneous Nonresidential Buildings,County,2024,2808099
Miscellaneous Nonresidential Buildings,County,2023,10879577
Miscellaneous Nonresidential Buildings,County,2022,7557462
Miscellaneous Nonresidential Buildings,County,2021,8363342
Miscellaneous Nonresidential Buildings,County,2020,5352108
Miscellaneous Nonresidential Buildings,County,2019,7921180
Miscellaneous Nonresidential Buildings,County,2018,7137151
Miscellaneous Nonresidential Buildings,County,2017,7516113
Miscellaneous Nonresidential Buildings,County,2016,5687899
Miscellaneous Nonresidential Buildings,County,2015,3709511
Miscellaneous Nonresidential Buildings,State,2024,383742
Miscellaneous Nonresidential Buildings,State,2023,1104425
Miscellaneous Nonresidential Buildings,State,2022,1170263
Miscellaneous Nonresidential Buildings,State,2021,569024
Miscellaneous Nonresidential Buildings,State,2020,1716038
Miscellaneous Nonresidential Buildings,State,2019,1309205
Miscellaneous Nonresidential Buildings,State,2018,2530153
Miscellaneous Nonresidential Buildings,State,2017,4284380
Miscellaneous Nonresidential Buildings,State,2016,1546986
Miscellaneous Nonresidential Buildings,State,2015,858480
Miscellaneous Nonresidential Buildings,Federal,2024,73379
Miscellaneous Nonresidential Buildings,Federal,2023,1311858
Miscellaneous Nonresidential Buildings,Federal,2022,1340050
Miscellaneous Nonresidential Buildings,Federal,2021,1112944
Miscellaneous Nonresidential Buildings,Federal,2020,732971
Miscellaneous Nonresidential Buildings,Federal,2019,1047229
Miscellaneous Nonresidential Buildings,Federal,2018,786390
Miscellaneous Nonresidential Buildings,Federal,2017,872502
Miscellaneous Nonresidential Buildings,Federal,2016,600925
Miscellaneous Nonresidential Buildings,Federal,2015,562690
One-family Houses,Private,2024,65217462
One-family Houses,Private,2023,230602780
One-family Houses,Private,2022,264811587
One-family Houses,Private,2021,305816240
One-family Houses,Private,2020,258630607
One-family Houses,Private,2019,229895845
One-family Houses,Private,2018,229890951
One-family Houses,Private,2017,218278419
One-family Houses,Private,2016,200991274
One-family Houses,Private,2015,185936486
One-family Houses,County,2024,75516
One-family Houses,County,2023,357836
One-family Houses,County,2022,323593
One-family Houses,County,2021,256746
One-family Houses,County,2020,97776
One-family Houses,County,2019,234703
One-family Houses,County,2018,110251
One-family Houses,County,2017,120405
One-family Houses,County,2016,118799
One-family Houses,County,2015,207930
One-family Houses,State,2024,24575
One-family Houses,State,2023,61618
One-family Houses,State,2022,5036
One-family Houses,State,2021,21908
One-family Houses,State,2020,21545
One-family Houses,State,2019,17839
One-family Houses,State,2018,5199
One-family Houses,State,2017,12147
One-family Houses,State,2016,6295
One-family Houses,State,2015,25731
One-family Houses,Federal,2024,41105
One-family Houses,Federal,2023,23456
One-family Houses,Federal,2022,21907
One-family Houses,Federal,2021,2773
One-family Houses,Federal,2020,25207
One-family Houses,Federal,2019,7125
One-family Houses,Federal,2018,9491
One-family Houses,Federal,2017,2505
One-family Houses,Federal,2016,35238
One-family Houses,Federal,2015,21116
Two-family Houses,Private,2024,1309593
Two-family Houses,Private,2023,3971199
Two-family Houses,Private,2022,4899735
Two-family Houses,Private,2021,4817423
Two-family Houses,Private,2020,3717864
Two-family Houses,Private,2019,3610846
Two-family Houses,Private,2018,3231620
Two-family Houses,Private,2017,3100224
Two-family Houses,Private,2016,2841722
Two-family Houses,Private,2015,2472304
Two-family Houses,County,2024,2085
Two-family Houses,County,2023,23237
Two-family Houses,County,2022,8310
Two-family Houses,County,2021,2189
Two-family Houses,County,2020,18467
Two-family Houses,County,2019,2201
Two-family Houses,County,2018,27755
Two-family Houses,County,2017,16130
Two-family Houses,County,2016,8193
Two-family Houses,County,2015,2741
Two-family Houses,State,2022,463
Two-family Houses,State,2018,455
Two-family Houses,Federal,2023,84563
Two-family Houses,Federal,2022,986
Two-family Houses,Federal,2020,14293
Two-family Houses,Federal,2017,8535
Apartments,Private,2024,30553015
Apartments,Private,2023,128606376
Apartments,Private,2022,145111506
Apartments,Private,2021,113551345
Apartments,Private,2020,87206866
Apartments,Private,2019,94732144
Apartments,Private,2018,94772254
Apartments,Private,2017,82499911
Apartments,Private,2016,91349900
Apartments,Private,2015,82451511
Apartments,Municipal,2017,9000
Apartments,County,2024,387028
Apartments,County,2023,2711908
Apartments,County,2022,1977770
Apartments,County,2021,1560824
Apartments,County,2020,1635446
Apartments,County,2019,1795807
Apartments,County,2018,1849754
Apartments,County,2017,2254047
Apartments,County,2016,2027725
Apartments,County,2015,1872094
Apartments,State,2024,37749
Apartments,State,2023,183230
Apartments,State,2022,111268
Apartments,State,2021,71211
Apartments,State,2020,38793
Apartments,State,2019,280838
Apartments,State,2018,65064
Apartments,State,2017,10290
Apartments,State,2016,43838
Apartments,State,2015,209479
Apartments,Federal,2023,35837
Apartments,Federal,2022,59400
Apartments,Federal,2021,25034
Apartments,Federal,2020,6275
Apartments,Federal,2019,84596
Apartments,Federal,2018,8725
Apartments,Federal,2017,15889
Apartments,Federal,2016,21409
Apartments,Federal,2015,11048
Hotels and Motels,Private,2024,3330590
Hotels and Motels,Private,2023,10524895
Hotels and Motels,Private,2022,12501386
Hotels and Motels,Private,2021,7650606
Hotels and Motels,Private,2020,7864294
Hotels and Motels,Private,2019,17522563
Hotels and Motels,Private,2018,17491091
Hotels and Motels,Private,2017,15943501
Hotels and Motels,Private,2016,17179325
Hotels and Motels,Private,2015,13522507
Hotels and Motels,County,2024,10389
Hotels and Motels,County,2023,523712
Hotels and Motels,County,2022,57984
Hotels and Motels,County,2021,64754
Hotels and Motels,County,2020,17427
Hotels and Motels,County,2019,102378
Hotels and Motels,County,2018,278708
Hotels and Motels,County,2017,139263
Hotels and Motels,County,2016,159027
Hotels and Motels,County,2015,11352
Hotels and Motels,State,2024,320
Hotels and Motels,State,2023,266047
Hotels and Motels,State,2022,42552
Hotels and Motels,State,2021,93711
Hotels and Motels,State,2020,33859
Hotels and Motels,State,2019,113628
Hotels and Motels,State,2018,96959
Hotels and Motels,State,2017,25911
Hotels and Motels,State,2016,42470
Hotels and Motels,State,2015,90641
Hotels and Motels,Federal,2023,541
Hotels and Motels,Federal,2022,38959
Hotels and Motels,Federal,2021,1400
Hotels and Motels,Federal,2020,66593
Hotels and Motels,Federal,2019,1215
Hotels and Motels,Federal,2018,21276
Hotels and Motels,Federal,2017,44356
Hotels and Motels,Federal,2016,25758
Hotels and Motels,Federal,2015,50947
Dormitories,Private,2024,975798
Dormitories,Private,2023,2576865
Dormitories,Private,2022,2857528
Dormitories,Private,2021,2043786
Dormitories,Private,2020,1731021
Dormitories,Private,2019,3126221
Dormitories,Private,2018,2181657
Dormitories,Private,2017,3979982
Dormitories,Private,2016,2140154
Dormitories,Private,2015,2821117
Dormitories,County,2024,824643
Dormitories,County,2023,398163
Dormitories,County,2022,903747
Dormitories,County,2021,431178
Dormitories,County,2020,390988
Dormitories,County,2019,864249
Dormitories,County,2018,375004
Dormitories,County,2017,268079
Dormitories,County,2016,416564
Dormitories,County,2015,468749
Dormitories,State,2024,733357
Dormitories,State,2023,1796391
Dormitories,State,2022,1135923
Dormitories,State,2021,1296394
Dormitories,State,2020,1369966
Dormitories,State,2019,1625628
Dormitories,State,2018,2404643
Dormitories,State,2017,2177317
Dormitories,State,2016,1573621
Dormitories,State,2015,2545687
Dormitories,Federal,2024,9704
Dormitories,Federal,2023,676936
Dormitories,Federal,2022,348221
Dormitories,Federal,2021,692528
Dormitories,Federal,2020,348205
Dormitories,Federal,2019,705091
Dormitories,Federal,2018,531277
Dormitories,Federal,2017,253915
Dormitories,Federal,2016,321059
Dormitories,Federal,2015,514497
