State,Year,Measure
Nevada,2022,8978251
Nevada,2021,7980906
Nevada,2020,7729030
Nevada,2019,6704961
Nevada,2018,9514654
Nevada,2017,6126503
Nevada,2016,6633601
Nevada,2015,5249326
Nebraska,2024,1311604
Nebraska,2023,6487893
Nebraska,2022,4962028
Nebraska,2021,4990121
Nebraska,2020,3414587
Nebraska,2019,3971504
Nebraska,2018,4140427
Nebraska,2017,4439572
Nebraska,2016,3218949
Nebraska,2015,3199275
Montana,2024,301923
Montana,2023,1397874
Montana,2022,2000438
Montana,2021,2618020
Montana,2020,1521328
Montana,2019,1565170
Montana,2018,1930296
Montana,2017,1348602
Montana,2016,1360955
Montana,2015,1146957
Missouri,2024,2481430
Missouri,2023,9480383
Missouri,2022,10989220
Missouri,2021,11444968
Missouri,2020,10468768
Missouri,2019,9801503
Missouri,2018,9472838
Missouri,2017,9936306
Missouri,2016,8728848
Missouri,2015,8211521
Mississippi,2024,924500
Mississippi,2023,5424752
Mississippi,2022,2971839
Mississippi,2021,3211960
Mississippi,2020,2828717
Mississippi,2019,2598775
Mississippi,2018,3594963
Mississippi,2017,2275268
Mississippi,2016,2340050
Mississippi,2015,2604180
Minnesota,2024,2287508
Minnesota,2023,10419497
Minnesota,2022,12416259
Minnesota,2021,12436864
Minnesota,2020,10116143
Minnesota,2019,11815966
Minnesota,2018,11265767
Minnesota,2017,9021215
Minnesota,2016,9779265
Minnesota,2015,7810612
Michigan,2024,3662705
Michigan,2023,10123428
Michigan,2022,15220643
Michigan,2021,11148860
Michigan,2020,10036945
Michigan,2019,11552678
Michigan,2018,12151513
Michigan,2017,10987590
Michigan,2016,11170258
Michigan,2015,8522736
Massachusetts,2024,3344574
Massachusetts,2023,18606374
Massachusetts,2022,17213666
Massachusetts,2021,16647403
Massachusetts,2020,13610907
Massachusetts,2019,18411068
Massachusetts,2018,16425238
Massachusetts,2017,14141645
Massachusetts,2016,15910782
Massachusetts,2015,11576993
Maryland,2024,1823136
Maryland,2023,9835009
Maryland,2022,11933940
Maryland,2021,11195439
Maryland,2020,9229463
Maryland,2019,10598615
Maryland,2018,10435506
Maryland,2017,9547424
Maryland,2016,9972366
Maryland,2015,9018143
Maine,2024,583671
Maine,2023,1911205
Maine,2022,2029792
Maine,2021,2354989
Maine,2020,1777452
Maine,2019,1815417
Maine,2018,1730873
Maine,2017,1484065
Maine,2016,1512730
Maine,2015,1075122
Louisiana,2024,2702802
Louisiana,2023,8462477
Louisiana,2022,9642742
Louisiana,2021,10185492
Louisiana,2020,6267163
Louisiana,2019,8134991
Louisiana,2018,6717487
Louisiana,2017,8385113
Louisiana,2016,11565871
Louisiana,2015,14733978
Kentucky,2024,1880569
Kentucky,2023,8344740
Kentucky,2022,10207751
Kentucky,2021,7335013
Kentucky,2020,4917013
Kentucky,2019,5993108
Kentucky,2018,6448460
Kentucky,2017,5277808
Kentucky,2016,6142604
Kentucky,2015,4703046
Kansas,2024,1910751
Kansas,2023,8903690
Kansas,2022,6201311
Kansas,2021,5457827
Kansas,2020,5532458
Kansas,2019,4284615
